filename,Satellite-Framing,Verb-Framing,Path-Reduplication,Satellite-Framing,Verb-Framing,Path-Reduplication,Adjective Change of State Expressions,Adjective COS Examples,
ch1.txt,4,4,0,crept into; rolled onto; went into; held together,passed; rose; passed; entered,,0,,
ch2.txt,4,3,0,put together; came back; lived away; come back,arrived; left; left,,3,going red; fell open; fell open,
